iter	Passed	Remaining
0	0	551
1	0	463
2	1	435
3	1	421
4	2	415
5	2	403
6	3	558
7	4	542
8	4	523
9	5	506
10	5	490
11	5	480
12	6	472
13	6	468
14	6	452
15	7	446
16	7	443
17	8	438
18	8	433
19	8	428
20	9	430
21	9	426
22	9	423
23	10	419
24	10	418
25	11	414
26	11	414
27	11	407
28	12	404
29	12	403
30	12	398
31	13	395
32	13	393
33	13	389
34	14	387
35	14	386
36	14	384
37	15	383
38	15	381
39	15	380
40	16	379
41	16	377
42	16	375
43	17	375
44	17	374
45	18	373
46	18	372
47	18	371
48	19	370
49	19	369
50	19	367
51	20	366
52	20	365
53	20	364
54	21	361
55	21	360
56	21	358
57	22	358
58	22	356
59	22	355
60	23	354
61	23	353
62	23	353
63	23	350
64	24	349
65	24	348
66	24	346
67	25	346
68	25	345
69	25	344
70	26	343
71	26	342
72	26	341
73	27	341
74	27	340
75	27	339
76	28	339
77	28	339
78	29	338
79	29	338
80	29	338
81	30	338
82	30	337
83	30	336
84	31	336
85	31	335
86	31	334
87	32	333
88	32	333
89	32	332
90	33	331
91	33	330
92	33	328
93	33	327
94	34	326
95	34	326
96	34	325
97	35	324
98	35	324
99	35	322
100	36	322
101	36	321
102	36	321
103	37	320
104	37	320
105	37	318
106	38	318
107	38	318
108	38	317
109	39	317
110	39	317
111	39	316
112	40	316
113	40	316
114	41	315
115	41	315
116	41	314
117	42	314
118	42	314
119	42	314
120	43	314
121	43	313
122	43	312
123	44	312
124	44	312
125	44	311
126	45	311
127	45	311
128	46	310
129	46	310
130	46	310
131	47	309
132	47	309
133	47	308
134	48	308
135	48	307
136	48	307
137	49	307
138	49	307
139	49	306
140	50	306
141	50	306
142	51	306
143	51	306
144	51	306
145	52	305
146	52	305
147	52	305
148	53	304
149	53	304
150	54	303
151	54	303
152	54	302
153	55	303
154	55	303
155	56	303
156	56	302
157	56	302
158	57	302
159	57	302
160	57	301
161	58	300
162	58	300
163	58	300
164	59	299
165	59	299
166	60	299
167	60	299
168	60	299
169	61	298
170	61	298
171	61	297
172	62	297
173	62	297
174	62	296
175	63	296
176	63	295
177	63	295
178	64	294
179	64	294
180	64	294
181	65	293
182	65	293
183	66	293
184	66	292
185	67	294
186	67	294
187	68	293
188	68	293
189	68	292
190	69	292
191	69	292
192	69	292
193	70	291
194	70	292
195	71	293
196	72	293
197	72	294
198	73	294
199	73	295
200	74	295
201	74	295
202	75	296
203	75	295
204	76	295
205	76	294
206	76	294
207	77	294
208	77	293
209	77	293
210	78	292
211	78	292
212	79	292
213	79	291
214	79	291
215	80	291
216	80	290
217	80	290
218	81	290
219	82	290
220	82	290
221	82	290
222	83	290
223	83	290
224	84	289
225	84	289
226	85	289
227	85	289
228	85	289
229	86	289
230	86	289
231	87	289
232	87	288
233	88	288
234	88	288
235	89	288
236	89	289
237	90	289
238	90	289
239	91	288
240	91	288
241	92	289
242	92	289
243	93	289
244	93	289
245	94	289
246	94	289
247	95	289
248	95	289
249	96	289
250	96	289
251	97	289
252	98	291
253	99	290
254	99	290
255	99	290
256	100	290
257	100	290
258	101	290
259	102	290
260	102	290
261	102	290
262	103	289
263	104	290
264	104	290
265	105	290
266	106	291
267	107	292
268	107	292
269	108	294
270	109	294
271	109	294
272	110	293
273	110	293
274	111	294
275	112	295
276	112	294
277	113	294
278	114	294
279	114	295
280	115	296
281	116	295
282	116	295
283	117	295
284	117	294
285	117	294
286	118	294
287	118	293
288	119	293
289	119	292
290	119	292
291	120	291
292	120	290
