iter	RMSE
0	0.5344404849
1	0.5313176759
2	0.528262821
3	0.5247781453
4	0.5211215588
5	0.5191017442
6	0.5159536089
7	0.5138606834
8	0.5111719398
9	0.507760667
10	0.505098751
11	0.5009044268
12	0.498245471
13	0.4955193869
14	0.4923929883
15	0.4900858729
16	0.4885341341
17	0.4861528852
18	0.4841375105
19	0.4822194227
20	0.4791750375
21	0.4771365713
22	0.4753622654
23	0.4721525731
24	0.4689893523
25	0.4666979661
26	0.464301632
27	0.462213542
28	0.459580985
29	0.45681862
30	0.4548171665
31	0.452282557
32	0.4500220019
33	0.447796779
34	0.4445332233
35	0.4426469954
36	0.4408514661
37	0.4388284323
38	0.4364422647
39	0.4344054449
40	0.4324585551
41	0.4296393322
42	0.4268645064
43	0.4252956846
44	0.4233573989
45	0.4211092971
46	0.4187452812
47	0.4174175751
48	0.4158823366
49	0.4141739872
50	0.4119257411
51	0.4099752806
52	0.4083406644
53	0.4061152951
54	0.4044821762
55	0.4022891377
56	0.4007498187
57	0.3985675228
58	0.3961935257
59	0.3938763254
60	0.391281342
61	0.3898300534
62	0.388043172
63	0.386768348
64	0.3843098289
65	0.3825098608
66	0.3808005322
67	0.3789316926
68	0.3772775579
69	0.3763503176
70	0.3741886442
71	0.373349874
72	0.3710403881
73	0.3689445375
74	0.3672848578
75	0.3651000034
76	0.3633374479
77	0.3619503312
78	0.3605720905
79	0.358826866
80	0.3571444439
81	0.3553790218
82	0.3538729473
83	0.3522271743
84	0.350959404
85	0.3492285357
86	0.3471267887
87	0.3454233209
88	0.3436383976
89	0.3420903852
90	0.3403516532
91	0.3386610975
92	0.3372755529
93	0.335528733
94	0.3335676465
95	0.3321305384
96	0.3308655251
97	0.3283489029
98	0.3268178024
99	0.3255936401
100	0.3239594446
101	0.3222355751
102	0.3201314915
103	0.3187357797
104	0.3170565069
105	0.3164352998
106	0.3155379617
107	0.3141039942
108	0.3130438422
109	0.3117574024
110	0.3096452392
111	0.3083216404
112	0.3062130802
113	0.3045071271
114	0.3034825137
115	0.3016209442
116	0.3002601383
117	0.2991163635
118	0.2978193069
119	0.2962522294
120	0.294714286
121	0.2931231623
122	0.2917359185
123	0.2900698183
124	0.2889546808
125	0.287409922
126	0.2856920472
127	0.2839253282
128	0.2828270931
129	0.2818222794
130	0.2806245129
131	0.2794775944
132	0.2781470712
133	0.2767105134
134	0.2756086649
135	0.2738164402
136	0.2727092015
137	0.2713724242
138	0.2696896493
139	0.2679947832
140	0.2664596853
141	0.2652669014
142	0.263998914
143	0.2623890589
144	0.2613635311
145	0.2598264744
146	0.2589661264
147	0.2576805813
148	0.2564387096
149	0.2554199676
150	0.2543321656
151	0.2524952007
152	0.2512438258
153	0.2495556377
154	0.2481848429
155	0.2465909536
156	0.2459265585
157	0.2444063756
158	0.2433569954
159	0.2420204221
160	0.2409175118
161	0.2397077136
162	0.2385643627
163	0.2378725797
164	0.2363049852
165	0.2348823294
166	0.2333293672
167	0.2323548408
168	0.2314306085
169	0.2301849443
170	0.2290272259
171	0.2280632754
172	0.2271498034
173	0.226158963
174	0.2252742792
175	0.2242273019
176	0.223167044
177	0.2216682098
178	0.2208432294
179	0.2202179608
180	0.2194781184
181	0.2181128499
182	0.2166372086
183	0.2154924919
184	0.2147116153
185	0.2135437367
186	0.2128763574
187	0.2120805192
188	0.211443167
189	0.2107049515
190	0.2092772686
191	0.2085595483
192	0.2070228759
193	0.2056644484
194	0.2045254855
195	0.2033844029
196	0.2020605212
197	0.2007911636
198	0.1997243623
199	0.198937206
200	0.1976532499
201	0.1969470707
202	0.195798267
203	0.1946752347
204	0.1934513893
205	0.1926376616
206	0.1918728547
207	0.1912170395
208	0.1903346501
209	0.1895169896
210	0.1886127498
211	0.187660465
212	0.1869471284
213	0.1861517779
214	0.185111047
215	0.1843705968
216	0.1830525678
217	0.182095965
218	0.1810965612
219	0.179915638
220	0.1793863805
221	0.1782195319
222	0.1776660037
223	0.1768656272
224	0.176309927
225	0.1755582487
226	0.1742883428
227	0.1731667643
228	0.1722133708
229	0.1714675025
230	0.1705420328
231	0.1695383289
232	0.1684543717
233	0.1674537532
234	0.1666614509
235	0.1660894681
236	0.164855615
237	0.1642605364
238	0.1633664649
239	0.1625542412
240	0.1616726753
241	0.1607535339
242	0.1598289306
243	0.1587375867
244	0.1577014512
245	0.1567529451
246	0.1558505926
247	0.1552297067
248	0.1542586992
249	0.1537568756
250	0.1530672553
251	0.1522631757
252	0.151722574
253	0.1506481667
254	0.1496948948
255	0.1487207237
256	0.147464257
257	0.1466360303
258	0.145448461
259	0.1443975322
260	0.1438005917
261	0.1427883192
262	0.1419076716
263	0.1410380289
264	0.1399730096
265	0.1393804071
266	0.1385067668
267	0.1378121744
268	0.1369190926
269	0.1361411004
270	0.1354043226
271	0.1346751366
272	0.1336843262
273	0.1330175326
274	0.1321241225
275	0.1312576601
276	0.1305180017
277	0.1295713883
278	0.1291032305
279	0.1280342831
280	0.1274158073
281	0.1266992303
282	0.1258585948
283	0.125315622
284	0.1245339613
285	0.1237157435
286	0.1231686521
287	0.1222840607
288	0.1215761811
289	0.1207052289
290	0.120009709
291	0.119231769
292	0.1183178703
293	0.1176123982
294	0.1166657485
295	0.1161050746
296	0.1153614381
297	0.114703089
298	0.1140752554
299	0.1132873786
300	0.1126142368
301	0.111867965
302	0.1112367124
303	0.1104469604
304	0.1099150372
305	0.1093853248
306	0.1087210271
307	0.1079678647
308	0.1073338535
309	0.106593615
310	0.1059720417
311	0.1055087852
312	0.104970347
313	0.1044748542
314	0.104029441
315	0.1031538344
316	0.1025393516
317	0.1020984201
318	0.1015155513
319	0.1010833119
320	0.1005354758
321	0.09997029157
322	0.09920735289
323	0.09864699751
324	0.09811148958
325	0.09758787317
326	0.09691754383
327	0.09636846471
328	0.0958264149
329	0.09542273761
330	0.09469186527
331	0.09425338547
332	0.09375212181
333	0.09331979466
334	0.09293159473
335	0.09243451283
336	0.09184258272
337	0.09133513675
338	0.09082417277
339	0.09025659297
340	0.08975113281
341	0.08933979794
342	0.08884972433
343	0.08838011966
344	0.08777898151
345	0.08731825419
346	0.08696136212
347	0.08648088398
348	0.08601267858
349	0.08556643044
350	0.08498199777
351	0.08457115972
352	0.08414971015
353	0.08349470919
354	0.08285230044
355	0.08246046784
356	0.08182168221
357	0.08144901981
358	0.08082060422
359	0.08049321335
360	0.08016900831
361	0.07962848286
362	0.07901578996
363	0.07858002474
364	0.07794537577
365	0.07728429459
366	0.07668912233
367	0.07629614296
368	0.07594894208
369	0.07560552161
370	0.07521929437
371	0.07464335702
372	0.0743071127
373	0.07367703078
374	0.07326651843
375	0.07270728263
376	0.07233670406
377	0.07193613203
378	0.07157228524
379	0.07103086169
380	0.0707093477
381	0.07039132379
382	0.06979630529
383	0.06944354758
384	0.06906261066
385	0.06848169998
386	0.06798190598
387	0.06748755235
388	0.06718316705
389	0.0666958358
390	0.06633026431
391	0.06596877375
392	0.06567166254
393	0.0651715532
394	0.06484345921
395	0.06437379774
396	0.06390927092
397	0.06362095591
398	0.06319184182
399	0.06284799163
400	0.06231832231
401	0.06189933429
402	0.06156421193
403	0.0612333152
404	0.06095677984
405	0.06044431256
406	0.06014224069
407	0.05970775104
408	0.05938618129
409	0.05898652839
410	0.0585499026
411	0.05823591679
412	0.05784663257
413	0.05755779913
414	0.05725017076
415	0.05679244069
416	0.05649072196
417	0.05620938553
418	0.05593121741
419	0.05552147091
420	0.05524802506
421	0.05483857648
422	0.05447310728
423	0.05420572718
424	0.05393993341
425	0.05354279632
426	0.05315649666
427	0.05287545033
428	0.05261657189
429	0.0522320792
430	0.0518856376
431	0.05161209014
432	0.05136009156
433	0.05098719895
434	0.05068456246
435	0.05041962758
436	0.05017523888
437	0.04993360258
438	0.04956824554
439	0.04920997016
440	0.04888463768
441	0.04863107563
442	0.04839722696
443	0.04818178136
444	0.0478259697
445	0.04751024769
446	0.04716521971
447	0.04688734422
448	0.04664544522
449	0.04645357882
450	0.04614773702
451	0.04581473457
452	0.04544348516
453	0.04514520801
454	0.04491352115
455	0.04465009998
456	0.04442264238
457	0.04416429974
458	0.04386343373
459	0.04365556745
460	0.04340430465
461	0.04309104164
462	0.04277453137
463	0.04258567213
464	0.04229563241
465	0.04216673678
466	0.04192578163
467	0.04162056681
468	0.04133759929
469	0.04121247448
470	0.04108844511
471	0.0409221819
472	0.04064392511
473	0.0404149668
474	0.04029477428
475	0.04000228075
476	0.03988372974
477	0.03955885999
478	0.03928970654
479	0.03903475578
480	0.03885298527
481	0.03873859176
482	0.03845929388
483	0.03819796833
484	0.03802090576
485	0.03785601279
486	0.03755974664
487	0.03730473977
488	0.03719528379
489	0.03708679745
490	0.03688198341
491	0.0366166458
492	0.03637079172
493	0.03620357997
494	0.03609897745
495	0.03593434738
496	0.03570385048
497	0.0354487696
498	0.0352874364
499	0.03501163146
500	0.0347632307
501	0.03452947718
502	0.03437219527
503	0.03422496382
504	0.03407941053
505	0.03380129109
506	0.03357351193
507	0.03335925185
508	0.03312475791
509	0.03298398666
510	0.03277561287
511	0.03266653866
512	0.03255847054
513	0.03241140316
514	0.03226602407
515	0.03216008005
516	0.03201690909
517	0.03184542419
518	0.03162222687
519	0.03148018974
520	0.0312229075
521	0.03112082381
522	0.0310183932
523	0.03091787129
524	0.03075376435
525	0.03051554689
526	0.03031592581
527	0.03017805639
528	0.03003152297
529	0.0298520056
530	0.02970815145
531	0.02957709589
532	0.02948044874
533	0.02930439933
534	0.0291766199
535	0.02896567581
536	0.02887090567
537	0.02866666966
538	0.02857331262
539	0.02840285499
540	0.02827824723
541	0.02804856801
542	0.0278664087
543	0.02774157662
544	0.02757656944
545	0.02745670986
546	0.02725997992
547	0.02717126123
548	0.02697752403
549	0.02688994255
550	0.02677266016
551	0.02665555977
552	0.02646592381
553	0.02638042658
554	0.02622325414
555	0.02604089314
556	0.02595696929
557	0.02580278894
558	0.02571836094
559	0.02563568169
560	0.02545857434
561	0.02537713425
562	0.02522656259
563	0.0251462434
564	0.02499735554
565	0.02491560714
566	0.02471529775
567	0.02456931849
568	0.02448953568
569	0.02439577373
570	0.02426448875
571	0.02412136525
572	0.02404298577
573	0.02390164839
574	0.02382447224
575	0.02366085561
576	0.02358511964
577	0.02344674223
578	0.02337134568
579	0.02329779336
580	0.02322344292
581	0.0231347957
582	0.02294969227
583	0.02281508681
584	0.02274359063
585	0.0226570483
586	0.02247691004
587	0.02233376961
588	0.02222505314
589	0.02209125679
590	0.02200742407
591	0.02185408182
592	0.02178331014
593	0.02171453968
594	0.02163259696
595	0.02148245532
596	0.02140164785
597	0.02132172347
598	0.02117413954
599	0.02110837957
600	0.02094210308
601	0.02080904128
602	0.02071919747
603	0.0206322226
604	0.02056787763
605	0.02050420807
606	0.02038118268
607	0.0202412009
608	0.02017856633
609	0.0201038284
610	0.02000384716
611	0.01990326085
612	0.01980368963
613	0.0196624578
614	0.01958037336
615	0.01944658958
616	0.01934976079
617	0.01923076795
618	0.01915129024
619	0.01909200182
620	0.01897548745
621	0.01889748868
622	0.01882037362
623	0.01876211914
624	0.01870425899
625	0.01857106443
626	0.01843935081
627	0.01831466893
628	0.01825816927
629	0.01812933386
630	0.0180552333
631	0.01799965132
632	0.01794460277
633	0.01781820197
634	0.0176867085
635	0.01757967116
636	0.01747679084
637	0.0174054256
638	0.01733486814
639	0.01728173024
640	0.01717803129
641	0.0170757077
642	0.01697474237
643	0.01691991624
644	0.01680666987
645	0.01673937653
646	0.0166282895
647	0.01656230067
648	0.01649723922
649	0.01642235584
650	0.01631422501
651	0.01626389243
652	0.01616871796
653	0.01612115201
654	0.01602761307
655	0.01593163757
656	0.01583979173
657	0.01578994661
658	0.01568751526
659	0.01557029563
660	0.01549502532
661	0.01540633327
662	0.01536154123
663	0.01527002289
664	0.01515657356
665	0.01504481459
666	0.01493639599
667	0.01484868018
668	0.01477656198
669	0.01467032519
670	0.0145846551
671	0.01447819355
672	0.01437431789
673	0.01427166924
674	0.01418904323
675	0.0140864519
676	0.01398608553
677	0.01388690969
678	0.01380721274
679	0.01370834317
680	0.01361137346
681	0.01351294462
682	0.01343607587
683	0.01333876661
684	0.01327158796
685	0.01320507091
686	0.01313920845
687	0.01307399363
688	0.01300941965
689	0.01294426729
690	0.0128514621
691	0.01276813396
692	0.01269584975
693	0.01263192821
694	0.01256886337
695	0.01250708984
696	0.01244505076
697	0.01235533907
698	0.01231881145
699	0.01224905726
700	0.01216008711
701	0.01209970438
702	0.01204055818
703	0.01200514731
704	0.01191929408
705	0.01184198943
706	0.01177565963
707	0.0117171982
708	0.01165931605
709	0.01158365567
710	0.01152639126
711	0.01149071666
712	0.01144203148
713	0.0113680326
714	0.01132060967
715	0.01126441122
716	0.01120877442
717	0.01114311633
718	0.01106361335
719	0.01099206142
720	0.01094645975
721	0.01087600319
722	0.01083158143
723	0.01075907065
724	0.0106873702
725	0.01061647196
726	0.01057361779
727	0.01050375985
728	0.01043468558
729	0.01040437291
730	0.01033614389
731	0.01030629941
732	0.01027684842
733	0.01020952042
734	0.01016900695
735	0.01010266743
736	0.01003707357
737	0.01000840302
738	0.009943610599
739	0.009915382046
740	0.009851380505
741	0.009823586931
742	0.009791313064
743	0.009721940855
744	0.009690221955
745	0.009627708972
746	0.009596429445
747	0.009528967174
748	0.009498223168
749	0.009435284165
750	0.009404933762
751	0.009374867803
752	0.009312873403
753	0.009283191991
754	0.009236027202
755	0.00918932603
756	0.009128607873
757	0.009082586513
758	0.009019273742
759	0.008960002143
760	0.008909866238
761	0.008876760439
762	0.008848615162
763	0.008790517115
764	0.008758183427
765	0.008713963516
766	0.008670176415
767	0.008621885843
768	0.008574315888
769	0.008547994674
770	0.008522362571
771	0.008475704626
772	0.00844467485
773	0.008395215538
774	0.008369642988
775	0.008344882492
776	0.008299679961
777	0.008274611387
778	0.008248973912
779	0.008209677443
780	0.008185045384
781	0.008155459217
782	0.008113355038
783	0.008069709816
784	0.008031779927
785	0.008007740161
786	0.007978869868
787	0.007936447689
788	0.007912788211
789	0.007889364793
790	0.007861060101
791	0.007819497042
792	0.00779643861
793	0.007773577195
794	0.007733270873
795	0.00769331932
796	0.00765371953
797	0.007614468527
798	0.007589084334
799	0.007563943214
800	0.007525265016
801	0.007500476894
802	0.007473437586
803	0.007448942901
804	0.007424683299
805	0.00739807119
806	0.007360643161
807	0.007335159834
808	0.007309909535
809	0.007283753843
810	0.007258732035
811	0.007233939145
812	0.007212250397
813	0.007186457823
814	0.00716189092
815	0.00714048313
816	0.007116143347
817	0.007090707018
818	0.007066585769
819	0.007045426574
820	0.007021501012
821	0.006996454561
822	0.006972742757
823	0.006951846446
824	0.006928326691
825	0.00690366214
826	0.006880351491
827	0.006859706432
828	0.006839629454
829	0.006816501441
830	0.006796582054
831	0.006773632715
832	0.006753869375
833	0.006731097041
834	0.006711488229
835	0.006688891255
836	0.006669435471
837	0.006647012233
838	0.006627708001
839	0.006605456895
840	0.00658630276
841	0.006564222203
842	0.00654521673
843	0.00652330516
844	0.006505384416
845	0.006483632404
846	0.006465835333
847	0.006444241498
848	0.006422844748
849	0.006405130069
850	0.006383888667
851	0.006366295768
852	0.006345208382
853	0.006324313673
854	0.00630680159
855	0.006286058151
856	0.006268666013
857	0.006248072557
858	0.006230799387
859	0.00621035464
860	0.006190096884
861	0.006171941595
862	0.006151837988
863	0.006134746785
864	0.006114788049
865	0.006096224832
866	0.006076423144
867	0.006059547155
868	0.006039887893
869	0.006023126855
870	0.006003608825
871	0.005984269471
872	0.005967583857
873	0.005948383248
874	0.005930284805
875	0.005911234623
876	0.005894758108
877	0.005861500394
878	0.005842698108
879	0.005826400399
880	0.005793660544
881	0.005777576853
882	0.005758981567
883	0.00574055669
884	0.005724545009
885	0.005692488107
886	0.005676686493
887	0.005658467601
888	0.005641358302
889	0.00562328255
890	0.005607681759
891	0.005576383175
892	0.005558509861
893	0.005543077337
894	0.005512266713
895	0.005494645034
896	0.005479380483
897	0.005461850809
898	0.005446689719
899	0.00541652181
900	0.005401559123
901	0.005384245152
902	0.005367051932
903	0.005352157036
904	0.005322618728
905	0.005306612057
906	0.005289649751
907	0.005275030859
908	0.005258147196
909	0.005243627086
910	0.005214803521
911	0.005198168624
912	0.005179963352
913	0.005163431001
914	0.005145405354
915	0.005117205629
916	0.005099430398
917	0.005083132459
918	0.005065531513
919	0.005037848389
920	0.005020491773
921	0.005004423086
922	0.00498723559
923	0.004971306217
924	0.004954285173
925	0.004927265685
926	0.004910480672
927	0.004894772659
928	0.004878149198
929	0.004851624027
930	0.004836141974
931	0.004819739494
932	0.004804389735
933	0.004788143546
934	0.004762193416
935	0.004746171844
936	0.004731032052
937	0.004715162211
938	0.0047001503
939	0.004684429863
940	0.004659101569
941	0.004636700545
942	0.004621924304
943	0.004604434688
944	0.004589783627
945	0.00457451225
946	0.004559983545
947	0.004542776955
948	0.004528370806
949	0.004503877197
950	0.004487742476
951	0.004473535101
952	0.00445860584
953	0.004444516949
954	0.004428622257
955	0.004414644333
956	0.004399924466
957	0.004386062609
958	0.004369556931
959	0.004345927087
960	0.004332263105
961	0.00431680199
962	0.004303244897
963	0.004290574025
964	0.004277124087
965	0.004263073199
966	0.004248806077
967	0.004235464469
968	0.004221329121
969	0.004208097888
970	0.004194311025
971	0.004181196677
972	0.004169446128
973	0.004156423803
974	0.004144753844
975	0.004131822799
976	0.004118021227
977	0.004095797945
978	0.004081420555
979	0.004068669485
980	0.004046798559
981	0.004032614344
982	0.004020051185
983	0.004006008699
984	0.00398453284
985	0.003970682787
986	0.003949473019
987	0.00393716446
988	0.003923498889
989	0.003911297023
990	0.003897766337
991	0.003882538685
992	0.003869152372
993	0.003854082248
994	0.003840837941
995	0.00382592316
996	0.00381115728
997	0.003799810003
998	0.003786758116
999	0.003772146018
