iter	Passed	Remaining
0	0	545
1	0	439
2	1	390
3	1	373
4	1	360
5	2	341
6	2	344
7	2	343
8	3	341
9	3	367
10	4	359
11	4	354
12	4	352
13	4	348
14	5	338
15	5	334
16	5	331
17	6	329
18	6	327
19	6	326
20	6	324
21	7	322
22	7	319
23	7	318
24	8	318
25	8	322
26	8	320
27	9	314
28	9	314
29	9	313
30	9	311
31	10	311
32	10	311
33	10	307
34	11	308
35	11	308
36	11	308
37	12	309
38	12	309
39	12	308
40	13	308
41	13	309
42	13	309
43	14	308
44	14	307
45	14	306
46	15	306
47	15	306
48	15	308
49	16	310
50	16	310
51	17	311
52	17	310
53	18	328
54	19	332
55	19	332
56	20	330
57	20	330
58	20	329
59	20	328
60	21	327
61	21	326
62	21	325
63	22	323
64	22	322
65	22	321
66	23	321
67	23	320
68	23	320
69	24	319
70	24	318
71	24	317
72	24	316
73	25	316
74	25	315
75	25	314
76	26	313
77	26	312
78	26	312
79	27	311
80	27	310
81	27	309
82	27	308
83	28	307
84	28	307
85	28	306
86	29	305
87	29	305
88	29	305
89	30	305
90	30	304
91	30	304
92	30	302
93	31	301
94	31	301
95	32	301
96	32	300
97	32	299
98	32	299
99	33	297
100	33	297
101	33	296
102	33	295
103	34	295
104	34	294
105	34	293
106	35	292
107	35	291
108	35	291
109	35	290
110	36	290
111	36	289
112	36	289
113	37	288
114	37	288
115	37	287
116	38	286
117	38	286
118	38	285
119	38	285
120	39	284
121	39	284
122	39	283
123	40	283
124	40	282
125	40	282
126	40	281
127	41	281
128	41	281
129	41	280
130	42	280
131	42	279
132	42	280
133	43	279
134	43	279
135	44	279
136	44	279
137	44	278
138	44	278
139	45	278
140	45	278
141	45	277
142	46	277
143	46	276
144	46	276
145	47	275
146	47	274
147	47	274
148	47	273
149	48	273
150	48	273
151	48	272
152	49	272
153	49	271
154	49	271
155	50	270
156	50	270
157	50	270
158	50	269
159	51	269
160	51	268
161	51	267
162	52	267
163	52	266
164	52	266
165	52	266
166	53	265
167	53	265
168	53	264
169	54	264
170	54	263
171	54	263
172	54	262
173	55	262
174	55	262
175	55	261
176	56	261
177	56	260
178	56	260
179	57	259
180	57	259
181	57	259
182	57	258
183	58	258
184	58	258
185	58	257
186	59	257
187	59	256
188	59	256
189	59	255
190	60	255
191	60	254
192	60	254
193	61	253
194	61	253
195	61	253
196	61	252
197	62	252
198	62	251
199	62	251
200	63	250
201	63	250
202	63	249
203	63	249
204	64	249
205	64	248
206	64	248
207	65	247
208	65	247
209	65	247
210	66	246
211	66	246
212	66	245
213	66	245
214	67	244
215	67	244
